,entry_index,exit_index,entry_price,exit_price,pnl,reason
151,2022-09-22,2022-09-23,2.29,2.14,-65.50218340611349,Stop-loss hit
152,2022-09-30,2022-10-03,2.5,2.7,-80.00000000000007,Stop-loss hit
153,2022-10-14,2022-10-26,2.58,2.91,127.90697674418607,Stop-loss hit
154,2022-11-02,2022-11-03,2.71,2.61,-36.90036900369007,Stop-loss hit
155,2022-11-04,2022-11-08,2.93,3.16,-78.49829351535836,Stop-loss hit
156,2022-11-22,2022-11-30,3.6,3.73,-36.11111111111108,Stop-loss hit
157,2022-11-30,2022-12-01,3.73,3.79,-16.085790884718513,Stop-loss hit
158,2022-12-07,2022-12-09,3.92,3.8,30.61224489795921,Take-profit hit
159,2022-12-15,2022-12-19,3.71,3.62,-24.258760107816673,Stop-loss hit
160,2022-12-19,2022-12-20,3.62,3.84,60.77348066298336,Take-profit hit
161,2023-01-04,2023-01-05,3.89,3.46,110.5398457583548,Stop-loss hit
162,2023-01-05,2023-01-10,3.46,3.69,66.47398843930635,Take-profit hit
163,2023-01-17,2023-01-20,3.53,3.77,67.98866855524086,Stop-loss hit
164,2023-02-03,2023-02-06,3.69,3.6,-24.390243902438986,Stop-loss hit
165,2023-02-15,2023-02-21,3.38,3.28,-29.585798816568072,Stop-loss hit
166,2023-03-03,2023-03-08,3.42,3.13,84.79532163742691,Stop-loss hit
167,2023-03-13,2023-03-14,3.52,3.52,0.0,Stop-loss hit
168,2023-03-20,2023-03-21,3.53,3.29,67.98866855524074,Take-profit hit
169,2023-03-27,2023-03-28,3.55,3.73,-50.70422535211273,Stop-loss hit
170,2023-04-17,2023-04-19,3.84,3.8,-10.416666666666677,Stop-loss hit
171,2023-05-02,2023-05-04,3.81,3.9,-23.622047244094453,Stop-loss hit
172,2023-05-10,2023-05-11,3.55,3.45,-28.169014084506944,Stop-loss hit
173,2023-05-18,2023-05-22,3.38,3.44,17.751479289940843,Take-profit hit
174,2023-05-24,2023-05-25,3.26,3.22,-12.269938650306624,Stop-loss hit
175,2023-06-01,2023-06-05,3.5,3.52,-5.71428571428572,Stop-loss hit
176,2023-06-05,2023-06-06,3.52,3.55,-8.522727272727217,Stop-loss hit
177,2023-06-13,2023-06-14,3.38,3.32,-17.751479289940843,Stop-loss hit
178,2023-06-30,2023-07-03,3.24,3.29,-15.432098765432045,Stop-loss hit
179,2023-07-12,2023-07-13,3.48,3.51,-8.620689655172358,Stop-loss hit
180,2023-07-27,2023-07-28,3.45,3.45,0.0,Stop-loss hit
181,2023-08-01,2023-08-02,3.39,3.31,-23.59882005899707,Stop-loss hit
182,2023-08-07,2023-08-10,3.29,2.89,-121.58054711246197,Stop-loss hit
183,2023-08-23,2023-08-29,3.02,3.14,-39.73509933774838,Stop-loss hit
184,2023-08-29,2023-08-30,3.14,3.11,9.554140127388614,Stop-loss hit
185,2023-09-05,2023-09-06,2.88,2.82,-20.833333333333353,Stop-loss hit
186,2023-09-15,2023-09-20,3.01,2.92,29.900332225913573,Take-profit hit
187,2023-09-25,2023-09-26,2.8,2.68,-42.85714285714274,Stop-loss hit
188,2023-10-02,2023-10-05,2.61,2.72,42.145593869731925,Take-profit hit
189,2023-10-06,2023-10-09,2.81,2.82,-3.558718861209888,Stop-loss hit
190,2023-10-13,2023-10-17,2.92,3.02,-34.24657534246578,Stop-loss hit
191,2023-10-26,2023-10-31,2.84,2.8,-14.084507042253534,Stop-loss hit
192,2023-10-31,2023-11-03,2.8,1.98,-292.85714285714283,Stop-loss hit
193,2023-11-03,2023-11-06,1.98,2.91,469.6969696969698,Take-profit hit
194,2023-11-14,2023-11-28,3.36,3.92,-166.66666666666669,Stop-loss hit
